scheme_name,invited_for_interview,not_invited_for_interview,x,x_2,x_3,panel_id,panel_type
Summary,"2,027,187","3,507,017",NA,NA,NA,4791,PanelFellowshipV2
Including:,Including:,Including:,Including:,Including:,Including:,4791,PanelFellowshipV2
Postdoctoral Research Fellowship,"2,027,187","3,507,017",NA,NA,NA,4791,PanelFellowshipV2
Summary,"4,284,285","6,253,776",NA,NA,NA,4778,PanelFellowshipV2
Including:,Including:,Including:,Including:,Including:,Including:,4778,PanelFellowshipV2
Postdoctoral Research Fellowship,"4,284,285","6,253,776",NA,NA,NA,4778,PanelFellowshipV2
Summary,"2,049,689","1,889,295",NA,NA,NA,4792,PanelFellowshipV2
Including:,Including:,Including:,Including:,Including:,Including:,4792,PanelFellowshipV2
Postdoctoral Research Fellowship,"2,049,689","1,889,295",NA,NA,NA,4792,PanelFellowshipV2
Summary,"4,856,500","6,372,462",NA,NA,NA,4793,PanelFellowshipV2
Including:,Including:,Including:,Including:,Including:,Including:,4793,PanelFellowshipV2
Postdoctoral Research Fellowship,"4,856,500","6,372,462",NA,NA,NA,4793,PanelFellowshipV2
Summary,"3,485,813","12,641,240",NA,NA,NA,4862,PanelFellowshipV2
Including:,Including:,Including:,Including:,Including:,Including:,4862,PanelFellowshipV2
Postdoctoral Research Fellowship,"3,485,813","12,641,240",NA,NA,NA,4862,PanelFellowshipV2
Summary,"2,131,458","3,063,972",NA,NA,NA,4916,PanelFellowshipV2
Including:,Including:,Including:,Including:,Including:,Including:,4916,PanelFellowshipV2
Postdoctoral Research Fellowship,"2,131,458","3,063,972",NA,NA,NA,4916,PanelFellowshipV2
Summary,"4,782,225","8,388,522",NA,NA,NA,4915,PanelFellowshipV2
Including:,Including:,Including:,Including:,Including:,Including:,4915,PanelFellowshipV2
Postdoctoral Research Fellowship,"4,782,225","8,388,522",NA,NA,NA,4915,PanelFellowshipV2
Summary,"1,866,496","2,890,471",NA,NA,NA,4913,PanelFellowshipV2
Including:,Including:,Including:,Including:,Including:,Including:,4913,PanelFellowshipV2
Postdoctoral Research Fellowship,"1,866,496","2,890,471",NA,NA,NA,4913,PanelFellowshipV2
